%% LaTeX2e file `perf.data'
%% generated by the `filecontents' environment
%% from source `rapport' on 2018/10/22.
%%
W P
2 10164835
3 1214867
4 12955182
5 12399463
6 7142857
7 11038186
8 10644418
9 10187224
10 6033920
